"PROBEID","t","p","padj","SYMBOL"
"213933_at",14.3931132006827,8.52249415542141e-24,4.43807433739802e-23,"PTGER3"
"203766_s_at",14.3702021097383,9.98905694660738e-23,4.7642511480548e-22,"LMOD1"
"235371_at",14.3574567818312,3.6408239857955e-28,2.78705076112646e-27,"GXYLT2"
"228224_at",14.3142932943786,2.05983196098474e-22,9.55637191596255e-22,"PRELP"
"229459_at",14.2983653182871,4.41610642647398e-24,2.37230138208129e-23,"TAFA5"
"226997_at",14.2863678516659,2.28973899562174e-27,1.65358037844193e-26,"ADAMTS12"
"219386_s_at",14.240961460423,1.52191790647379e-25,9.28309288769474e-25,"SLAMF8"
"220979_s_at",14.2196959551356,7.43355670813969e-23,3.59014994326873e-22,"ST6GALNAC5"
"225045_at",14.2008470290441,2.08610592467538e-25,1.25741266562126e-24,"CCDC88A"
"207426_s_at",14.1675949914799,7.93303048984367e-25,4.51504449068798e-24,"TNFSF4"
"202207_at",14.147733006493,3.14812872890225e-28,2.44659141317226e-27,"ARL4C"
"223475_at",14.1202362459678,3.19142063105377e-25,1.85078219172096e-24,"CRISPLD1"
"201348_at",14.1082792639909,6.5476726216172e-27,4.51553458725042e-26,"GPX3"
"218820_at",14.098063780001,5.26210562889639e-23,2.62419665076234e-22,"C14orf132"
"221667_s_at",14.0507142446761,1.29549699507239e-21,5.71586714540584e-21,"HSPB8"
"218854_at",14.045216542888,6.76581915327513e-28,5.004091364089e-27,"DSE"
"213139_at",13.9841685331206,7.2940713764895e-27,4.98536753455599e-26,"SNAI2"
"214770_at",13.9691865826532,5.53923750389585e-23,2.75343266833264e-22,"MSR1"
"219607_s_at",13.9588850036454,1.41621003878988e-27,1.0324845568511e-26,"MS4A4A"
"204787_at",13.9369839804229,1.41270823807491e-24,7.89363617698063e-24,"VSIG4"
"215440_s_at",13.9316193444372,9.55225530731038e-27,6.47101897145672e-26,"BEX4"
"37892_at",13.8759955292254,7.04971242245386e-26,4.40535090562321e-25,"COL11A1"
"223343_at",13.7904124189961,2.7619339383506e-27,1.95764854611795e-26,"MS4A7"
"204797_s_at",13.7864907031177,4.09860271031182e-23,2.0573641801598e-22,"EML1"
"218651_s_at",13.6591400515528,2.00170961223538e-26,1.30409251758824e-25,"LARP6"
"238617_at",13.6549927663773,1.0593153450411e-24,5.98454536257534e-24,"KIF26B"
"205422_s_at",13.6476855960396,1.73788949970073e-21,7.58036702006214e-21,"ITGBL1"
"221900_at",13.6294811481115,1.09661155825428e-22,5.19787088448081e-22,"COL8A2"
"204671_s_at",13.6286650199099,3.94668729363811e-24,2.13511598818373e-23,"ANKRD6"
"204006_s_at",13.6072832086753,2.25580999584671e-25,1.34908011860989e-24,"FCGR3A|FCGR3B"
"1554899_s_at",13.5961374204777,4.11784138829486e-26,2.64891393507539e-25,"FCER1G"
"224663_s_at",13.5520495100006,1.5434153018322e-23,7.92942559431241e-23,"CFL2"
"212956_at",13.5499805893827,1.55445662974727e-26,1.02580737075132e-25,"TBC1D9"
"209047_at",13.5333108281483,2.29723543673132e-25,1.36850873682321e-24,"AQP1"
"209949_at",13.5058844625576,1.92711932537725e-25,1.16617378938837e-24,"NCF2"
"227758_at",13.4889773439225,4.17987234540169e-22,1.91026404800298e-21,"RERG"
"226612_at",13.4796180261906,1.72728167191446e-22,8.08705883700625e-22,"UBE2QL1"
"203561_at",13.4763679430267,2.66469946291764e-25,1.57515632344668e-24,"FCGR2A"
"230730_at",13.4586183785424,1.04874860817935e-21,4.65401193948573e-21,"SGCD"
"202311_s_at",13.4528900961392,2.32500929431225e-26,1.50830052101358e-25,"COL1A1"
"210895_s_at",13.4042223346667,1.10011230592378e-24,6.16949428706706e-24,"CD86"
"214761_at",13.3185957692086,1.05173312346886e-24,5.96371634085489e-24,"ZNF423"
"218736_s_at",13.2549768339619,5.93345374372079e-23,2.91157618001171e-22,"PALMD"
"210889_s_at",13.241252573803,1.16795856219565e-21,5.16804785757672e-21,"FCGR2B"
"228141_at",13.2328634598739,5.85738685052313e-26,3.69039476055593e-25,"GPX8"
"227646_at",13.2056308566587,6.63539099735214e-23,3.21480494207156e-22,"EBF1"
"204646_at",13.1583541492982,8.81331659472552e-26,5.48503565305885e-25,"DPYD"
"228739_at",13.0571752838603,3.78450522402745e-21,1.61845740167208e-20,"CYS1"
"209948_at",13.0447861036002,3.32850456383729e-20,1.32706783521742e-19,"KCNMB1"
"212992_at",12.9661147290277,5.6360030394671e-25,3.21967188560602e-24,"AHNAK2"
"236738_at",12.8677234252427,1.11405138206067e-19,4.27471846098967e-19,"C3orf80"
"219892_at",12.835712046892,1.16004316192412e-20,4.80007048893467e-20,"TM6SF1"
"205713_s_at",12.8074920987427,2.19168426698121e-20,8.85347918930934e-20,"COMP"
"230550_at",12.7932153762935,9.29379541797504e-23,4.44650024528743e-22,"MS4A6A"
"206227_at",12.7689820815234,7.79960232150463e-20,3.03847103160906e-19,"CILP"
"213241_at",12.7444010707658,3.82091443931594e-24,2.0772696102046e-23,"PLXNC1"
"235044_at",12.7223433485666,1.78913878468319e-21,7.78173715724421e-21,"CYYR1"
"213943_at",12.7136034721009,1.39529046884783e-23,7.19255793874083e-23,"TWIST1"
"202920_at",12.698687158364,2.9394440668607e-20,1.18117818014796e-19,"ANK2"
"235306_at",12.6979596148767,2.10553664088918e-22,9.73890210634843e-22,"GIMAP8"
"209242_at",12.6915839562626,1.06298926612794e-19,4.08903659910018e-19,"PEG3"
"204235_s_at",12.6874085776966,3.22651369969283e-24,1.76421159793919e-23,"GULP1"
"212554_at",12.6550366737825,4.06878291752039e-22,1.86506187027656e-21,"CAP2"
"204007_at",12.6301433437362,4.16265029874877e-23,2.08268549260927e-22,"FCGR3B"
"231766_s_at",12.5924717425143,5.38179715670843e-24,2.84121774031745e-23,"COL12A1"
"229327_s_at",12.5918477371931,4.75116337171343e-21,2.0094008624567e-20,"MAF"
"228776_at",12.5643096645803,1.61208228630744e-22,7.59414763180521e-22,"GJC1"
"212865_s_at",12.5384330074196,6.02391974027364e-21,2.51984183671009e-20,"COL14A1"
"204557_s_at",12.5060732787144,5.83145586181339e-19,2.11062858733719e-18,"DZIP1"
"225895_at",12.5031235474469,5.7510456565571e-22,2.58966202946733e-21,"SYNPO2"
"204774_at",12.4827306194519,9.04192610923049e-23,4.35320404818613e-22,"EVI2A"
"204468_s_at",12.481881133726,4.6525267858102e-21,1.97861625252095e-20,"TIE1"
"221523_s_at",12.4740329995265,5.9825411636586e-23,2.92628451168093e-22,"RRAGD"
"229669_at",12.447105679974,1.54636243721725e-19,5.90394237251774e-19,"CCDC144NL-AS1|LOC339260"
"204776_at",12.4265399096142,2.92350075566268e-19,1.09693725264488e-18,"THBS4"
"218087_s_at",12.4097210848288,2.21170513317179e-21,9.59240951525782e-21,"SORBS1"
"1557961_s_at",12.4072859115991,9.46030485358695e-19,3.36830854205619e-18,"C8orf88"
"222880_at",12.3757228871895,8.95632773050802e-20,3.4626610493454e-19,"AKT3"
"209541_at",12.3598828414276,3.36707556276837e-21,1.44803165353887e-20,"IGF1"
"229800_at",12.3516451918681,3.75970323441042e-19,1.39036368402955e-18,"DCLK1"
"227565_at",12.3445217817457,5.74860889332223e-22,2.58966202946733e-21,"KLHL5"
"232090_at",12.3102816476065,7.65735174275352e-20,2.99066467299889e-19,"DNM3OS"
"1558828_s_at",12.2943672755574,2.930420224244e-19,1.09693725264488e-18,"CARMN"
"205559_s_at",12.2640441206045,6.41614843089343e-23,3.11845182466598e-22,"PCSK5"
"226682_at",12.1342032707965,3.18524278402619e-23,1.60944115588914e-22,"RORA"
"205206_at",12.0978307886725,9.26575164898923e-23,4.44650024528743e-22,"ANOS1"
"219410_at",12.0943567183578,6.03514796021471e-23,2.94261513601552e-22,"TMEM45A"
"209167_at",12.0366920136705,9.88496618769662e-19,3.50321371142674e-18,"GPM6B"
"32128_at",12.0020123098372,2.82202082830964e-21,1.22048414919267e-20,"CCL18"
"204963_at",11.9820344526859,3.86977441326443e-21,1.65031326649243e-20,"SSPN"
"236179_at",11.9759805708593,1.72239838045951e-22,8.08705883700625e-22,"CDH11"
"206953_s_at",11.9563295754908,3.52452527783717e-22,1.62531572300262e-21,"ADGRL2"
"236044_at",11.9420069024233,4.90308613993606e-19,1.78729163815288e-18,"PLPP4"
"205249_at",11.9045711056042,1.20552101849036e-20,4.9748050655222e-20,"EGR2"
"231773_at",11.8991540101481,9.16515338072583e-18,3.02410556592484e-17,"ANGPTL1"
"219228_at",11.8985180086267,1.47776611085924e-21,6.46417118778712e-21,"ZNF331"
"205729_at",11.8449168216252,2.29782103434089e-19,8.66493596939878e-19,"OSMR"
"235182_at",11.8378050246832,4.36148201256895e-19,1.59747104335958e-18,"ISM1"
"203485_at",11.8112226393501,6.9328900493639e-20,2.72860017109926e-19,"RTN1"
"238668_at",11.7610827757224,6.38203605434828e-21,2.65513510848022e-20,"NCKAP1L"
"226545_at",11.7514887028115,4.04074261867873e-22,1.85777085561475e-21,"CD109"
"210299_s_at",11.7222662942542,3.18882869986918e-19,1.190755302317e-18,"FHL1"
"212775_at",11.7097220166097,4.73544972086209e-22,2.15132745478928e-21,"OBSL1"
"226885_at",11.6665968580008,6.92197979919797e-22,3.10778623829094e-21,"RNF217"
"227688_at",11.6485960429134,6.78146634628078e-18,2.27186542147831e-17,"LRCH2"
"228335_at",11.616021535028,9.91577311564935e-19,3.50601585220766e-18,"CLDN11"
"203874_s_at",11.6046788032271,9.62008463190317e-22,4.29397946689322e-21,"SMARCA1"
"1554741_s_at",11.5389529738068,1.64288311886059e-19,6.25685088302379e-19,"FGF7|FGF7P3|FGF7P6"
"204416_x_at",11.4963388425484,4.07771850460486e-19,1.50433422422893e-18,"APOC1"
"218824_at",11.4450592929703,7.42568640195082e-18,2.46076317778933e-17,"PNMA8A"
"242881_x_at",11.3690925207613,1.08071781485262e-18,3.80362982652726e-18,"DUXAP10"
"236262_at",11.3155711425739,6.40344058615011e-18,2.14992709153417e-17,"MMRN2"
"201645_at",11.3044204670355,3.72177556597598e-20,1.47617574909566e-19,"TNC"
"203404_at",11.3018678788615,1.01518970161485e-20,4.21207434464047e-20,"ARMCX2"
"204793_at",11.284390818451,4.33363438513073e-18,1.46787483266264e-17,"GPRASP1"
"1557049_at",11.2827559153836,1.84696538248049e-18,6.3830790080759e-18,"BTBD19"
"207480_s_at",11.2542612478449,5.20117566052482e-21,2.18763734512733e-20,"MEIS2"
"222088_s_at",11.247056126861,1.95723903921051e-19,7.41716081443389e-19,"SLC2A14|SLC2A3"
"227239_at",11.2430203677045,6.09422024622937e-21,2.54230277846789e-20,"FAM126A"
"215617_at",11.2397523238803,1.1638506157537e-17,3.80738310410025e-17,"SPATS2L"
"202499_s_at",11.1485476422451,1.12641405007343e-19,4.31134977665607e-19,"SLC2A3"
"206715_at",11.1354976161122,1.4421214861255e-17,4.68766028717229e-17,"TFEC"
"219631_at",11.10436530444,1.71254180017333e-20,6.95464587815746e-20,"LRP12"
"210942_s_at",11.0497920023243,6.21067048822745e-17,1.93656548217439e-16,"ST3GAL6"
"219584_at",11.0434516029024,7.65359620660861e-18,2.53081118624574e-17,"PLA1A"
"209763_at",10.9779643153931,1.19351159497173e-16,3.66920934116811e-16,"CHRDL1"
"222162_s_at",10.9467626407093,4.31372232186516e-19,1.58757424874413e-18,"ADAMTS1"
"219935_at",10.9456701325075,7.12016310774478e-19,2.5469555415788e-18,"ADAMTS5"
"226435_at",10.9084158820416,6.12252621212453e-19,2.20555003076768e-18,"PAPLN"
"206070_s_at",10.8579420630488,2.18131966942955e-16,6.57401656278867e-16,"EPHA3"
"228186_s_at",10.8446881223715,1.70613347245845e-19,6.48161376261509e-19,"RSPO3"
"204154_at",10.8232061176547,4.24668268444076e-16,1.250321382669e-15,"CDO1"
"206638_at",10.8033501221521,8.26029003320197e-16,2.36383253099668e-15,"HTR2B"
"203153_at",10.8020349619582,2.71676528012697e-19,1.02195765205759e-18,"IFIT1"
"210004_at",10.7967314269482,1.48570571558545e-16,4.54923090112264e-16,"OLR1"
"219574_at",10.7791383988721,2.33077301490899e-17,7.44971500172372e-17,"MARCHF1"
"205404_at",10.7238084342069,3.93498215080308e-18,1.33579992746774e-17,"HSD11B1"
